os,os_version,machine,processor,time,jj
Windows,10.0.22631,AMD64,"Intel64 Family 6 Model 140 Stepping 1, GenuineIntel",2024-08-04 18:56:11,k
Windows,10.0.22631,AMD64,"Intel64 Family 6 Model 140 Stepping 1, GenuineIntel",2024-08-04 18:56:22,k
Windows,10.0.22631,AMD64,"Intel64 Family 6 Model 140 Stepping 1, GenuineIntel",2024-08-04 18:56:32,k
Windows,10.0.22631,AMD64,"Intel64 Family 6 Model 140 Stepping 1, GenuineIntel",2024-08-04 18:56:42,k
Windows,10.0.22631,AMD64,"Intel64 Family 6 Model 140 Stepping 1, GenuineIntel",2024-08-04 18:56:52,k
Windows,10.0.22631,AMD64,"Intel64 Family 6 Model 140 Stepping 1, GenuineIntel",2024-08-04 18:57:02,k
Windows,10.0.22631,AMD64,"Intel64 Family 6 Model 140 Stepping 1, GenuineIntel",2024-08-04 18:57:12,k
Windows,10.0.22631,AMD64,"Intel64 Family 6 Model 140 Stepping 1, GenuineIntel",2024-08-04 18:57:22,k
Windows,10.0.22631,AMD64,"Intel64 Family 6 Model 140 Stepping 1, GenuineIntel",2024-08-04 18:57:32,k
Windows,10.0.22631,AMD64,"Intel64 Family 6 Model 140 Stepping 1, GenuineIntel",2024-08-04 18:57:42,k
Windows,10.0.22631,AMD64,"Intel64 Family 6 Model 140 Stepping 1, GenuineIntel",2024-08-04 18:57:52,k
Windows,10.0.22631,AMD64,"Intel64 Family 6 Model 140 Stepping 1, GenuineIntel",2024-08-04 18:58:02,k
Windows,10.0.22631,AMD64,"Intel64 Family 6 Model 140 Stepping 1, GenuineIntel",2024-08-04 18:58:12,k
Windows,10.0.22631,AMD64,"Intel64 Family 6 Model 140 Stepping 1, GenuineIntel",2024-08-04 18:58:22,k
Windows,10.0.22631,AMD64,"Intel64 Family 6 Model 140 Stepping 1, GenuineIntel",2024-08-04 18:58:32,k
Windows,10.0.22631,AMD64,"Intel64 Family 6 Model 140 Stepping 1, GenuineIntel",2024-08-04 18:58:43,k
Windows,10.0.22631,AMD64,"Intel64 Family 6 Model 140 Stepping 1, GenuineIntel",2024-08-04 18:58:53,k
Windows,10.0.22631,AMD64,"Intel64 Family 6 Model 140 Stepping 1, GenuineIntel",2024-08-04 18:59:03,k
Windows,10.0.22631,AMD64,"Intel64 Family 6 Model 140 Stepping 1, GenuineIntel",2024-08-04 18:59:13,k
Windows,10.0.22631,AMD64,"Intel64 Family 6 Model 140 Stepping 1, GenuineIntel",2024-08-04 18:59:23,k
Windows,10.0.22631,AMD64,"Intel64 Family 6 Model 140 Stepping 1, GenuineIntel",2024-08-04 18:59:33,k
Windows,10.0.22631,AMD64,"Intel64 Family 6 Model 140 Stepping 1, GenuineIntel",2024-08-04 18:59:43,k
Windows,10.0.22631,AMD64,"Intel64 Family 6 Model 140 Stepping 1, GenuineIntel",2024-08-04 18:59:53,k
Windows,10.0.22631,AMD64,"Intel64 Family 6 Model 140 Stepping 1, GenuineIntel",2024-08-04 19:00:03,k
Windows,10.0.22631,AMD64,"Intel64 Family 6 Model 140 Stepping 1, GenuineIntel",2024-08-04 19:00:13,k
Windows,10.0.22631,AMD64,"Intel64 Family 6 Model 140 Stepping 1, GenuineIntel",2024-08-04 19:00:23,k
Windows,10.0.22631,AMD64,"Intel64 Family 6 Model 140 Stepping 1, GenuineIntel",2024-08-04 19:00:33,k
Windows,10.0.22631,AMD64,"Intel64 Family 6 Model 140 Stepping 1, GenuineIntel",2024-08-04 19:00:43,k
Windows,10.0.22631,AMD64,"Intel64 Family 6 Model 140 Stepping 1, GenuineIntel",2024-08-04 19:00:54,k
Windows,10.0.22631,AMD64,"Intel64 Family 6 Model 140 Stepping 1, GenuineIntel",2024-08-04 19:01:04,k
Windows,10.0.22631,AMD64,"Intel64 Family 6 Model 140 Stepping 1, GenuineIntel",2024-08-04 19:01:14,k
Windows,10.0.22631,AMD64,"Intel64 Family 6 Model 140 Stepping 1, GenuineIntel",2024-08-04 19:01:24,k
Windows,10.0.22631,AMD64,"Intel64 Family 6 Model 140 Stepping 1, GenuineIntel",2024-08-04 19:01:34,k
Windows,10.0.22631,AMD64,"Intel64 Family 6 Model 140 Stepping 1, GenuineIntel",2024-08-04 19:01:44,k
Windows,10.0.22631,AMD64,"Intel64 Family 6 Model 140 Stepping 1, GenuineIntel",2024-08-04 19:01:54,k
Windows,10.0.22631,AMD64,"Intel64 Family 6 Model 140 Stepping 1, GenuineIntel",2024-08-04 19:02:04,k
Windows,10.0.22631,AMD64,"Intel64 Family 6 Model 140 Stepping 1, GenuineIntel",2024-08-04 19:09:59,k
Windows,10.0.22631,AMD64,"Intel64 Family 6 Model 140 Stepping 1, GenuineIntel",2024-08-04 19:10:09,k
Windows,10.0.22631,AMD64,"Intel64 Family 6 Model 140 Stepping 1, GenuineIntel",2024-08-04 19:10:19,k
Windows,10.0.22631,AMD64,"Intel64 Family 6 Model 140 Stepping 1, GenuineIntel",2024-08-04 19:13:36,k
Windows,10.0.22631,AMD64,"Intel64 Family 6 Model 140 Stepping 1, GenuineIntel",2024-08-04 19:13:46,k
Windows,10.0.22631,AMD64,"Intel64 Family 6 Model 140 Stepping 1, GenuineIntel",2024-08-04 19:13:56,k
Windows,10.0.22631,AMD64,"Intel64 Family 6 Model 140 Stepping 1, GenuineIntel",2024-08-04 19:14:06,k
Windows,10.0.22631,AMD64,"Intel64 Family 6 Model 140 Stepping 1, GenuineIntel",2024-08-04 19:14:16,k
Windows,10.0.22631,AMD64,"Intel64 Family 6 Model 140 Stepping 1, GenuineIntel",2024-08-04 19:14:26,k
